,Rk,Player,Squad,Pos,Age,Min,90s,DefensivePoint,AttackingPoint,Diff,Total,Rank
225,226,Jordan Henderson,Liverpool,MF,0.04,0.49,23.0,0.35,0.65,0.68,1.21,94
430,431,Richarlison,Tottenham,"MF,FW",0.52,0.01,11.2,0.39,0.7,0.66,1.19,95
486,487,Tomáš Souček,West Ham,MF,0.29,0.83,31.3,0.95,0.1,0.06,1.18,96
439,440,Rodrigo,Leeds United,"FW,MF",0.07,0.45,21.5,0.28,0.64,0.62,1.1400000000000001,97
105,106,Lewis Cook,Bournemouth,MF,0.52,0.36,19.1,0.75,0.05,0.26,1.1400000000000001,98
215,216,İlkay Gündoğan,Manchester City,MF,0.07,0.61,26.1,0.23,0.71,0.45,1.1300000000000001,99
362,363,João Moutinho,Wolves,MF,0.01,0.4,19.8,0.6,0.34,0.72,1.1300000000000001,100
62,63,Yves Bissouma,Tottenham,MF,0.52,0.01,11.2,0.58,0.2,0.59,1.12,101
56,57,Rodrigo Bentancur,Tottenham,MF,0.52,0.26,16.7,0.87,0.24,0.31,1.09,103
475,476,Bernardo Silva,Manchester City,"MF,FW",0.29,0.54,24.5,0.24,0.92,0.28,1.11,102
562,563,Wilfried Zaha,Crystal Palace,"FW,MF",0.18,0.57,25.4,0.26,0.91,0.3,1.0499999999999998,104
55,56,Saïd Benrahma,West Ham,"FW,MF",0.4,0.48,23.0,0.21,0.98,0.16,1.04,105
446,447,Joe Rothwell,Bournemouth,MF,0.29,0.02,11.3,0.39,0.09,0.68,0.99,107
414,415,Daniel Podence,Wolves,"FW,MF",0.4,0.39,19.7,0.09,0.81,0.22,1.01,106
318,319,Ainsley Maitland-Niles,Southampton,"DF,MF",0.64,0.2,15.6,0.98,0.19,0.12,0.96,108
516,517,Adama Traoré,Wolves,"FW,MF",0.4,0.25,16.6,0.24,0.95,0.24,0.89,109
86,87,Casemiro,Manchester Utd,MF,0.12,0.5,23.6,1.0,0.31,0.27,0.89,110
369,370,Wilfred Ndidi,Leicester City,MF,0.52,0.34,18.7,0.97,0.02,0.01,0.8700000000000001,111
12,13,Thiago Alcántara,Liverpool,MF,0.07,0.13,13.9,0.76,0.45,0.65,0.8500000000000001,112
190,191,Idrissa Gana Gueye,Everton,MF,0.04,0.72,28.6,0.91,0.07,0.06,0.8200000000000001,113
534,535,Theo Walcott,Southampton,"FW,MF",0.02,0.06,12.5,0.12,0.37,0.73,0.81,114
30,31,Stuart Armstrong,Southampton,"MF,FW",0.12,0.21,15.6,0.28,0.76,0.45,0.78,115
185,186,Fred,Manchester Utd,MF,0.18,0.12,13.9,0.94,0.46,0.46,0.76,117
257,258,Jorginho,Chelsea,MF,0.12,0.15,14.2,0.61,0.17,0.5,0.77,116
237,238,Kelechi Iheanacho,Leicester City,"FW,MF",0.52,0.05,12.5,0.05,0.82,0.18,0.75,118
127,128,Kevin De Bruyne,Manchester City,MF,0.07,0.63,26.9,0.13,1.0,0.04,0.74,119
497,498,Raheem Sterling,Chelsea,"FW,MF",0.29,0.43,21.0,0.06,0.93,0.02,0.74,120
187,188,Remo Freuler,Nott'ham Forest,MF,0.12,0.53,24.0,0.84,0.01,0.08,0.73,121
342,343,Scott McTominay,Manchester Utd,MF,0.52,0.08,12.9,0.99,0.15,0.07,0.67,122
380,381,Christian Nørgaard,Brentford,MF,0.22,0.38,19.6,0.91,0.06,0.05,0.65,123
316,317,Riyad Mahrez,Manchester City,"FW,MF",0.07,0.44,21.3,0.16,0.98,0.1,0.6100000000000001,124
522,523,Leandro Trossard,Brighton,"FW,MF",0.29,0.17,14.6,0.08,0.9,0.09,0.55,125
293,294,Mario Lemina,Wolves,MF,0.22,0.16,14.4,0.82,0.04,0.14,0.52,126
174,175,Roberto Firmino,Liverpool,"FW,MF",0.12,0.09,13.5,0.11,0.86,0.21,0.42,127
